Channel,Date,Start time,Film Code,Break Code,Advertiser,Brand,Agency,Holding Company,BARB Prog Before,BARB Prog After,Sales House,Major category,Mid category,Minor category,All PIB rel,All PIB pos,Log Station (2010-),Impacts A4+
ITV1 HD,26/03/2024,12:40:46,VCCMURI489020,CB,Muller dairy uk,Muller rice dessert,Essencemediacom hold,Muller dairy uk,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Food,Dairy,Chilled desserts - multi packs,2nd,2,ITV1 HD London Carlton,48
ITV1 HD,26/03/2024,12:41:06,MUMKNLU328030,CB,Kentucky fried chick,Kfc lunch meal deal,Mindshare media uk l,Yum restaurant holdi,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Entertainment & leisure,Restaurants & bars,Fast food restaurants - multi product,3rd,3,ITV1 HD London Carlton,35
ITV1 HD,26/03/2024,12:41:36,ITCITVW001030,CB,Itv,Itv competitions portal,Itv network limited,Itv,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Business & industrial,Business,Promo prods/incentives/competitions,Middle,4,ITV1 HD London Carlton,35
ITV1 HD,26/03/2024,12:42:06,BDUPBEE031030,CB,Pensionbee,Pensionbee plans,Ad astra advertising,Pensionbee,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Finance,Pensions,Pensions - general/multi product,Middle,5,ITV1 HD London Carlton,34
ITV1 HD,26/03/2024,12:42:36,TTBFMTB005030,CB,Findmypast,Findmypast.co.uk,Smithfield agency,Findmypast,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Computers,Computing services,Internet services including isps,3rd last,6,ITV1 HD London Carlton,34
ITV1 HD,26/03/2024,12:43:06,ANOCRUK414030,CB,Cancer research uk,Cancer research race for life,Essencemediacom hold,Cancer research uk,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Government social political organisation,Charities,Cancer charities,2nd last,7,ITV1 HD London Carlton,48
ITV1 HD,26/03/2024,12:43:36,HOGNIAB369020,CB,Birds eye,Aunt bessies,Zenith uk media limi,Nomad foods europe,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Food,Frozen food,Frozen pies/pastry/yorkshires,Last,8,ITV1 HD London Carlton,48
ITV1 HD,26/03/2024,12:52:36,EGPSNOG252020,CB,Mars uk,Mars snickers,Essencemediacom hold,Mars uk,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Food,Confectionery & snacks,Chocolate - countlines,First,1,ITV1 HD London Carlton,39
ITV1 HD,26/03/2024,12:52:56,BLBFURN203010,CB,Furniture village,Furniture village,Tmwi limited,Cadagan estates,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Retail,Household,Furniture & furnishings,2nd,2,ITV1 HD London Carlton,39
ITV1 HD,26/03/2024,12:53:06,BCLMECC033010,CB,Mecca bingo,Mecca bingo,Intermarketing agenc,Rank group,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Entertainment & leisure,Gambling,Bingo,3rd,3,ITV1 HD London Carlton,25
